"400N1_1#008"
""
"Potential (V)";"Current (uA)"
"0.44400";"68.04166"
"0.44600";"67.80833"
"0.44800";"67.58750"
"0.45000";"67.35833"
"0.45200";"67.12083"
"0.45400";"66.89584"
"0.45600";"66.67500"
"0.45800";"66.46250"
"0.46000";"66.24583"
"0.46200";"66.01250"
"0.46400";"65.79166"
"0.46600";"65.57084"
"0.46800";"65.36667"
"0.47000";"65.15833"
"0.47200";"64.95000"
"0.47400";"64.74167"
"0.47600";"64.53333"
"0.47800";"64.33750"
"0.48000";"64.15000"
"0.48200";"63.94167"
"0.48400";"63.73750"
"0.48600";"63.53334"
"0.48800";"63.34584"
"0.49000";"63.15834"
"0.49200";"62.97084"
"0.49400";"62.78749"
"0.49600";"62.59999"
"0.49800";"62.40834"
"0.50000";"62.22500"
"0.50200";"62.03750"
"0.50400";"61.85833"
"0.50600";"61.67916"
"0.50800";"61.50833"
"0.51000";"61.32917"
"0.51200";"61.15000"
"0.51400";"60.97917"
"0.51600";"60.81250"
"0.51800";"60.63750"
"0.52000";"60.45000"
"0.52200";"60.27500"
"0.52400";"60.10833"
"0.52600";"59.95000"
"0.52800";"59.78750"
"0.53000";"59.61667"
"0.53200";"59.45000"
"0.53400";"59.28334"
"0.53600";"59.12083"
"0.53800";"58.96250"
"0.54000";"58.80000"
"0.54200";"58.64583"
"0.54400";"58.48333"
"0.54600";"58.32917"
"0.54800";"58.17083"
"0.55000";"58.01250"
"0.55200";"57.86250"
"0.55400";"57.72083"
"0.55600";"57.57917"
"0.55800";"57.43333"
"0.56000";"57.27083"
"0.56200";"57.12500"
"0.56400";"56.97083"
"0.56600";"56.83750"
"0.56800";"56.70000"
"0.57000";"56.55833"
"0.57200";"56.42500"
"0.57400";"56.28334"
"0.57600";"56.15834"
"0.57800";"56.02501"
"0.58000";"55.87917"
"0.58200";"55.73334"
"0.58400";"55.59167"
"0.58600";"55.47084"
"0.58800";"55.34166"
"0.59000";"55.20417"
"0.59200";"55.06667"
"0.59400";"54.94167"
"0.59600";"54.81250"
"0.59800";"54.68750"
"0.60000";"54.56250"
"0.59800";"53.74583"
"0.59600";"53.05833"
"0.59400";"52.52916"
"0.59200";"52.07917"
"0.59000";"51.66667"
"0.58800";"51.27500"
"0.58600";"50.89166"
"0.58400";"50.54583"
"0.58200";"50.21666"
"0.58000";"49.90416"
"0.57800";"49.58750"
"0.57600";"49.27501"
"0.57400";"48.97917"
"0.57200";"48.70000"
"0.57000";"48.42500"
"0.56800";"48.14583"
"0.56600";"47.87083"
"0.56400";"47.61250"
"0.56200";"47.37083"
"0.56000";"47.12500"
"0.55800";"46.88750"
"0.55600";"46.63750"
"0.55400";"46.40417"
