"400N1_1#001"
""
"Potential (V)";"Current (uA)"
"-0.05000";"-328.83334"
"-0.05200";"-325.70834"
"-0.05400";"-322.62500"
"-0.05600";"-319.50000"
"-0.05800";"-316.33334"
"-0.06000";"-313.16666"
"-0.06200";"-310.00000"
"-0.06400";"-306.83334"
"-0.06600";"-303.62500"
"-0.06800";"-300.25000"
"-0.07000";"-296.91666"
"-0.07200";"-293.66666"
"-0.07400";"-290.50000"
"-0.07600";"-287.33334"
"-0.07800";"-284.00000"
"-0.08000";"-280.75000"
"-0.08200";"-277.45834"
"-0.08400";"-274.29166"
"-0.08600";"-271.12500"
"-0.08800";"-267.95834"
"-0.09000";"-264.79166"
"-0.09200";"-261.66666"
"-0.09400";"-258.58334"
"-0.09600";"-255.62500"
"-0.09800";"-252.70833"
"-0.10000";"-249.83333"
"-0.10200";"-246.87500"
"-0.10400";"-243.91667"
"-0.10600";"-241.08333"
"-0.10800";"-238.20833"
"-0.11000";"-235.41667"
"-0.11200";"-232.58333"
"-0.11400";"-229.91667"
"-0.11600";"-227.20833"
"-0.11800";"-224.50000"
"-0.12000";"-221.79167"
"-0.12200";"-219.16667"
"-0.12400";"-216.62500"
"-0.12600";"-214.16667"
"-0.12800";"-211.66667"
"-0.13000";"-209.25000"
"-0.13200";"-206.79167"
"-0.13400";"-204.41667"
"-0.13600";"-202.04167"
"-0.13800";"-199.75000"
"-0.14000";"-197.50000"
"-0.14200";"-195.25000"
"-0.14400";"-193.04167"
"-0.14600";"-190.87500"
"-0.14800";"-188.75000"
"-0.15000";"-186.62500"
"-0.15200";"-184.54167"
"-0.15400";"-182.45833"
"-0.15600";"-180.45833"
"-0.15800";"-178.45833"
"-0.16000";"-176.58333"
"-0.16200";"-174.62500"
"-0.16400";"-172.75000"
"-0.16600";"-170.83333"
"-0.16800";"-169.04167"
"-0.17000";"-167.20833"
"-0.17200";"-165.41667"
"-0.17400";"-163.66667"
