"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.84200";"491.12500"
"0.84000";"490.29166"
"0.83800";"489.50000"
"0.83600";"488.75000"
"0.83400";"487.91666"
"0.83200";"487.04166"
"0.83000";"486.20834"
"0.82800";"485.41666"
"0.82600";"484.66666"
"0.82400";"483.87500"
"0.82200";"483.12500"
"0.82000";"482.29166"
"0.81800";"481.50000"
"0.81600";"480.66666"
"0.81400";"479.95834"
"0.81200";"479.12500"
"0.81000";"478.37500"
"0.80800";"477.58334"
"0.80600";"476.83334"
"0.80400";"476.08334"
"0.80200";"475.33334"
"0.80000";"474.62500"
"0.79800";"473.95834"
"0.79600";"473.29166"
"0.79400";"472.66666"
"0.79200";"471.95834"
"0.79000";"471.25000"
"0.78800";"470.54166"
"0.78600";"470.00000"
"0.78400";"469.45834"
"0.78200";"468.87500"
"0.78000";"468.16666"
"0.77800";"467.45834"
"0.77600";"466.79166"
"0.77400";"466.12500"
"0.77200";"465.54166"
"0.77000";"464.87500"
"0.76800";"464.25000"
"0.76600";"463.62500"
"0.76400";"463.04166"
"0.76200";"462.41666"
"0.76000";"461.79166"
"0.75800";"461.20834"
"0.75600";"460.62500"
"0.75400";"460.08334"
"0.75200";"459.54166"
"0.75000";"459.04166"
"0.74800";"458.41666"
"0.74600";"457.83334"
"0.74400";"457.25000"
"0.74200";"456.66666"
"0.74000";"456.16666"
"0.73800";"455.62500"
"0.73600";"455.08334"
"0.73400";"454.50000"
"0.73200";"453.95834"
"0.73000";"453.50000"
"0.72800";"452.95834"
"0.72600";"452.37500"
"0.72400";"451.83334"
"0.72200";"451.29166"
"0.72000";"450.83334"
"0.71800";"450.41666"
"0.71600";"450.00000"
"0.71400";"449.50000"
"0.71200";"448.91666"
"0.71000";"448.37500"
"0.70800";"447.91666"
"0.70600";"447.41666"
"0.70400";"446.95834"
"0.70200";"446.45834"
"0.70000";"446.00000"
"0.69800";"445.50000"
"0.69600";"444.95834"
"0.69400";"444.41666"
"0.69200";"443.91666"
"0.69000";"443.45834"
"0.68800";"443.00000"
"0.68600";"442.41666"
"0.68400";"441.83334"
"0.68200";"441.20834"
"0.68000";"440.66666"
"0.67800";"440.12500"
"0.67600";"439.62500"
