"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.52200";"32.69167"
"0.52000";"32.60417"
"0.51800";"32.51667"
"0.51600";"32.42916"
"0.51400";"32.34583"
"0.51200";"32.25417"
"0.51000";"32.17083"
"0.50800";"32.08333"
"0.50600";"32.00000"
"0.50400";"31.92083"
"0.50200";"31.83333"
"0.50000";"31.75000"
"0.49800";"31.65833"
"0.49600";"31.57917"
"0.49400";"31.50417"
"0.49200";"31.42500"
"0.49000";"31.34583"
"0.48800";"31.26250"
"0.48600";"31.18333"
"0.48400";"31.10417"
"0.48200";"31.02500"
"0.48000";"30.94167"
"0.47800";"30.85417"
"0.47600";"30.77500"
"0.47400";"30.69583"
"0.47200";"30.61667"
"0.47000";"30.53333"
"0.46800";"30.45000"
"0.46600";"30.37500"
"0.46400";"30.29583"
"0.46200";"30.22500"
"0.46000";"30.14583"
